instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
50948356,199017,IVZGOLDINAV,INAV INVESCINDGOLXCHANGER,0.0,,0.0,0.01,1,EQ,BSE,BSE
50948612,199018,HDFCETFINAV,INAVHDFCMUTUAL-HDFC GOLD E,0.0,,0.0,0.01,1,EQ,BSE,BSE
50948868,199019,ICICIGDINAV,INAVICICI PRUDENTIAL GOLD ETF,0.0,,0.0,0.01,1,EQ,BSE,BSE
50949124,199020,MON100INAV,INAVMOTILALOSWALMOSTSHARNASD,0.0,,0.0,0.01,1,EQ,BSE,BSE
50949380,199021,BSLGOLDINAV,INAVADITYABIRLASUNLIFMUTUAL,0.0,,0.0,0.01,1,EQ,BSE,BSE
50949636,199022,AXISGOLDINV,INAVAXIS MUTUAL AXIS GOLD E,0.0,,0.0,0.01,1,EQ,BSE,BSE
50949892,199023,IDBIGDINAV,INAVIDBI MUTUAL - IDBI GOLD E,0.0,,0.0,0.01,1,EQ,BSE,BSE
50950148,199024,ICICISINAV,INAVICICI PRUDENTIMUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
50950404,199025,GOLDBSINAV,INAVNIPPON INDI ETFGOLDBEES,0.0,,0.0,0.01,1,EQ,BSE,BSE
50950660,199026,KOTAKGDINAV,INAVKOTAK MAHINDRA MUTUAL,0.0,,0.0,0.01,1,EQ,BSE,BSE
50950916,199027,SBIGETSINAV,INAVSBI MUTUAL GOLD EXC,0.0,,0.0,0.01,1,EQ,BSE,BSE
50951172,199028,QGOLDLFINV,INAVQUANTUM GOLDEXCHANGE T,0.0,,0.0,0.01,1,EQ,BSE,BSE
50951428,199029,GOLDSHAINV,INAVUTI  GOLD EXC,0.0,,0.0,0.01,1,EQ,BSE,BSE
50951684,199030,HNGSNGINAV,INAVNIPPONETF HANG SENG BEE,0.0,,0.0,0.01,1,EQ,BSE,BSE
