exchange,tradingsymbol,name,instrument_token,instrument_type,segment,is_dual_listed
BSE,0795GOI32,7.95% GOI 2032,204837124,EQ,BSE,False
BSE,08ABB,NIPPON INDIA MUTUAL FUND,139046660,EQ,BSE,False
BSE,08ADD,NIPPON INDIA MUTUAL FUND,139051524,EQ,BSE,False
BSE,08ADR,NIPPON INDIA MUTUAL FUND,139045124,EQ,BSE,False
BSE,08AGG,NIPPON INDIA MUTUAL FUND,139047172,EQ,BSE,False
BSE,08AMD,NIPPON INDIA MUTUAL FUND,139045636,EQ,BSE,False
BSE,08AMR,NIPPON INDIA MUTUAL FUND,139045892,EQ,BSE,False
BSE,08AQD,NIPPON INDIA MUTUAL FUND,139047684,EQ,BSE,False
BSE,08AQR,NIPPON INDIA MUTUAL FUND,139051012,EQ,BSE,False
BSE,08BPB,NIPPON INDIA MUTUAL FUND,139046148,EQ,BSE,False
BSE,08DPD,NIPPON INDIA MUTUAL FUND,139047940,EQ,BSE,False
BSE,08DPR,NIPPON INDIA MUTUAL FUND,139051268,EQ,BSE,False
BSE,08GPG,NIPPON INDIA MUTUAL FUND,139046404,EQ,BSE,False
BSE,08MPD,NIPPON INDIA MUTUAL FUND,139044868,EQ,BSE,False
BSE,08MPR,NIPPON INDIA MUTUAL FUND,139045380,EQ,BSE,False
BSE,08QPD,NIPPON INDIA MUTUAL FUND,139046916,EQ,BSE,False
BSE,08QPR,NIPPON INDIA MUTUAL FUND,139047428,EQ,BSE,False
BSE,091TB190919,091TB190919,205862148,EQ,BSE,False
BSE,1018GOI26,10.18% GOI 2026,204831492,EQ,BSE,False
BSE,1018GS2026,1018GOI2026,204854276,EQ,BSE,False
BSE,11ADD,NIPPON INDIA MUTUAL FUND,139053828,EQ,BSE,False
BSE,11ADR,NIPPON INDIA MUTUAL FUND,139054084,EQ,BSE,False
BSE,11AGG,NIPPON INDIA MUTUAL FUND,139054340,EQ,BSE,False
BSE,11AMD,NIPPON INDIA MUTUAL FUND,139054596,EQ,BSE,False
BSE,11AMR,NIPPON INDIA MUTUAL FUND,139054852,EQ,BSE,False
BSE,11AQD,NIPPON INDIA MUTUAL FUND,139055108,EQ,BSE,False
BSE,11AQR,NIPPON INDIA MUTUAL FUND,139055364,EQ,BSE,False
BSE,11DPD,NIPPON INDIA MUTUAL FUND,139055620,EQ,BSE,False
BSE,11DPR,NIPPON INDIA MUTUAL FUND,139052292,EQ,BSE,False
BSE,11GPG,NIPPON INDIA MUTUAL FUND,139052548,EQ,BSE,False
BSE,11MPD,NIPPON INDIA MUTUAL FUND,139052804,EQ,BSE,False
BSE,11MPR,NIPPON INDIA MUTUAL FUND,139053060,EQ,BSE,False
BSE,11QPD,NIPPON INDIA MUTUAL FUND,139053316,EQ,BSE,False
BSE,11QPR,NIPPON INDIA MUTUAL FUND,139053572,EQ,BSE,False
BSE,182T041225,182T041225,206098948,EQ,BSE,False
BSE,182T111225,182T111225,206099716,EQ,BSE,False
BSE,182T131125,182T131125,206096644,EQ,BSE,False
BSE,182T161025,182T161025,206093572,EQ,BSE,False
BSE,182T181225,182T181225,206100484,EQ,BSE,False
BSE,182T201125,182T201125,206097412,EQ,BSE,False
BSE,182T231025,182T231025,206094340,EQ,BSE,False
BSE,182T251225,182T251225,206101252,EQ,BSE,False
BSE,182T271125,182T271125,206098180,EQ,BSE,False
BSE,182T311025,182T311025,206095108,EQ,BSE,False
BSE,182T611025,182T611025,206095876,EQ,BSE,False
BSE,182TB05226,182TB05226,206105860,EQ,BSE,False
BSE,182TB10126,182TB10126,206102020,EQ,BSE,False
BSE,182TB12226,182TB12226,206106628,EQ,BSE,False
BSE,182TB12326,182TB12326,206109700,EQ,BSE,False
BSE,182TB15126,182TB15126,206103556,EQ,BSE,False
BSE,182TB19226,182TB19226,206107396,EQ,BSE,False
BSE,182TB19326,182TB19326,206110468,EQ,BSE,False
BSE,182TB22126,182TB22126,206104324,EQ,BSE,False
BSE,182TB26326,182TB26326,206111236,EQ,BSE,False
BSE,182TB27226,182TB27226,206108164,EQ,BSE,False
BSE,182TB29126,182TB29126,206105092,EQ,BSE,False
BSE,182TB30426,182TB30426,206112004,EQ,BSE,False
BSE,182TB50326,182TB50326,206108932,EQ,BSE,False
BSE,182TB80126,182TB80126,206102788,EQ,BSE,False
BSE,1STCUS,FIRST CUSTODIAN FUND (INDIA) L,130847236,EQ,BSE,False
BSE,21STCENMGM,TWENTYFIRST CENTURY MANAGEMENT,134891780,EQ,BSE,False
BSE,364T020426,364T020426,206092292,EQ,BSE,False
BSE,364TB010126,364TB010126,206082308,EQ,BSE,False
BSE,364TB04626,364TB04626,206099204,EQ,BSE,False
