Symbol,Name,Sector,Industry,ISIN,IPO_Date,Market_Cap_Cr,EBITDA_Cr,Revenue_TTM_Cr,Gross_Profit_TTM_Cr,PE_Ratio,PEG_Ratio,Book_Value,EPS,Revenue_Per_Share,Dividend_Share,Dividend_Yield_%,Profit_Margin_%,Operating_Margin_%,ROE_%,ROA_%,BS_Years,BS_Quarters,IS_Years,CF_Years
20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,INE144J01027,None,743.7,115.87,929.44,437.47,12.11,0.0,121.68,17.4,0.0,0.0,0.0,6.6,10.82,15.86,9.68,19,43,19,19
21STCENMGM,21st Century Management Services Limited,Financial Services,Capital Markets,INE253B01015,None,52.78,-5.19,7.64,-2.41,0.0,0.0,48.58,-9.33,0.0,0.0,0.0,-128.1,69.62,23.66,21.66,21,49,21,19
360ONE,360 ONE WAM LIMITED,Financial Services,Asset Management,INE466L01038,None,44600.55,2357.79,3728.89,2700.07,41.55,0.0,180.59,26.52,0.0,8.5,0.79,28.33,61.46,19.31,8.32,11,38,11,11
3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services,INE748C01038,None,376.63,31.13,716.56,73.13,8.47,0.0,18.14,2.32,0.0,0.0,0.0,5.83,-1.91,8.45,-0.69,21,56,21,21
3MINDIA,3M India Limited,Industrials,Conglomerates,INE470A01017,None,32792.62,799.48,4594.95,1848.45,66.18,0.0,1639.13,439.88,0.0,0.0,0.0,10.81,18.94,23.84,14.46,21,55,21,21
3PLAND,3P Land Holdings Limited,Other,Other,INE105C01023,None,83.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.34,0.0,17,41,17,17
5PAISA,5paisa Capital Ltd,Financial Services,Capital Markets,INE618L01018,None,1100.25,0.0,311.42,311.42,18.43,0.0,193.09,19.11,0.0,0.0,0.0,19.17,21.98,11.93,3.67,12,35,12,12
63MOONS,63 moons technologies limited,Technology,Software - Application,INE111B01023,None,4004.68,-229.72,65.65,-62.48,168.74,0.0,742.15,5.15,0.0,0.0,0.0,-32.75,-205.54,-1.63,-4.57,22,43,22,22
A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,INE619I01012,None,321.79,11.68,344.14,35.77,33.13,0.0,2.59,0.55,0.0,0.0,0.0,2.82,6.07,4.36,0.39,19,38,19,19
AAATECH,AAA Technologies Limited,Technology,Information Technology Services,INE0D0U01013,None,144.81,3.45,26.13,16.55,37.08,0.0,24.1,2.74,0.0,0.0,0.0,13.46,16.12,11.94,6.32,9,24,9,9
AADHARHFC,Aadhar Housing Finance Ltd,Financial Services,Mortgage Finance,INE883F01010,None,22456.15,0.0,1968.98,1930.14,23.84,0.0,147.72,21.54,0.0,0.0,0.0,48.2,61.94,17.54,4.31,4,4,4,4
AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services,INE087Z01024,None,93.45,9.47,96.04,82.81,0.0,0.0,5.96,0.0,0.0,0.0,0.0,1.23,4.21,8.86,6.75,13,33,13,13
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,INE198H01019,None,238.18,2.81,449.24,12.94,57.53,0.0,49.36,1.46,0.0,0.0,0.0,0.93,1.19,2.97,0.07,18,57,18,17
AARON,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,INE721Z01010,None,376.6,14.81,79.98,27.67,50.79,0.0,20.54,3.54,0.0,0.0,0.0,9.29,14.09,20.9,10.38,12,30,12,12
AARTECH,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,29,12,12
